Longitude,Latitutde,Hometown
32.4464,-99.7456,"Abilene, Texas"
18.2641,-65.6485,"Ceiba, Puerto Rico"
42.7975,-76.1064,"Tully, New York"
35.7111,-81.2197,"Conover, North Carolina"
38.4785,-85.4754,WESTPORT
40.8425,-73.0436,"Farmingville, New York"
38.6269,-90.1994,St. Louis
32.8853,-80.0169,"North Charleston, South Carolina"
40.1775,-74.9189,"Langhorne, Pennsylvania"
36.7108,-107.9830,"Bloomfield, New Mexico"
35.4350,-83.3603,"Whittier, North Carolina"
28.5742,-81.5306,"Ocoee, Florida"
33.8936,-118.3078,"Gardena, California"
46.7797,-96.6531,"Sabin, Minnesota"
42.5381,-78.9308,"Lawtons, New York"
40.7000,-74.0000,New York City
36.8516,-75.9793,"Virginia Beach, Virginia"
37.3764,-77.5039,"Chesterfield Court House, Virginia"
35.3103,-78.6108,"Dunn, North Carolina"
39.2864,-76.6150,Baltimore
42.1022,-75.9117,"Binghamton, New York"
32.0508,-81.1039,"Savannah, Georgia"
42.1122,-71.6728,"Whitinsville, Massachusetts"
42.0772,-87.7236,"Wilmette, Illinois"
39.6879,-78.7819,Mount Savage Junction
28.3578,-80.6847,"Merritt Island, Florida"
36.3839,-90.1928,"Piggott, Arkansas"
41.1456,-73.9950,"New City, New York"
32.4922,-84.9403,"Columbus, Georgia"
34.0098,-86.0984,"Attalla, Alabama"
29.6653,-82.3361,"Gainesville, Florida"
38.6250,-90.1575,"East St. Louis, Illinois"
14.6500,120.9667,Caloocan
32.7920,-115.5631,"El Centro, California"
40.8639,-76.7892,"Sunbury, Pennsylvania"
39.9528,-75.1636,Philadelphia
40.7000,-74.0000,New York City
40.7000,-74.0000,New York City
25.7833,-80.2167,Miami
39.9528,-75.1636,Philadelphia
25.8606,-80.2939,"Hialeah, Florida"
32.9042,-80.6661,"Walterboro, South Carolina"
38.9150,-77.9203,"Delaplane, Virginia"
44.5000,-73.4833,"Keeseville, New York"
41.3083,-72.9250,"New Haven, Connecticut"
40.4650,-87.8964,"Rankin, Illinois"
42.2500,-73.7897,"Hudson, New York"
42.0083,-71.5161,"Woonsocket, Rhode Island"
32.8407,-83.6324,"Macon, Georgia"
41.5457,-71.2914,"Middletown, Rhode Island"
41.1853,-80.7572,"Niles, Ohio"
25.7833,-80.2167,Miami
41.5622,-72.6511,"Middletown, Connecticut"
38.9000,-77.2667,"Vienna, Virginia"
41.6333,-71.2167,"Tiverton, Rhode Island"
39.8017,-89.6437,"Springfield, Illinois"
41.0731,-81.5178,"Akron, Ohio"
40.0397,-76.3044,"Lancaster, Pennsylvania"
30.4122,-86.6592,"Mary Esther, Florida"
32.5977,-85.4808,"Auburn, Alabama"
38.8819,-76.9144,"Capitol Heights, Maryland"
43.1656,-77.6114,"Rochester, New York"
33.0906,-82.0153,"Waynesboro, Georgia"
40.5698,-74.6077,"Somerville, New Jersey"
41.8500,-87.6501,Chicago
41.0967,-73.5522,"Stamford, Connecticut"
34.6461,-120.4603,"Lompoc, California"
40.7000,-74.0000,New York City
41.6106,-87.0642,"Chesterton, Indiana"
41.9167,-72.4578,"Ellington, Connecticut"
44.9819,-93.2692,Minneapolis
30.2431,-92.0126,"Lafayette, Louisiana"
34.5794,-118.1165,"Palmdale, California"
41.8500,-87.6501,Chicago
38.8822,-77.171,"Falls Church, Virginia"
38.8048,-77.0468,"Alexandria, Virginia"
40.7000,-74.0000,New York City
36.2081,-86.3264,"Lebanon, Tennessee"
42.0547,-72.7708,"Southwick, Massachusetts"
39.9528,-75.1636,Philadelphia
38.8944,-84.2339,"Point Pleasant, Ohio"
27.9092,-82.7875,"Largo, Florida"
33.8867,-118.3536,"Lawndale, California"
40.5006,-75.0728,"Erwinna, Pennsylvania"
25.7833,-80.2167,Miami
36.0033,-77.6217,"Charleston, North Carolina"
35.7153,-79.8131,"Asheboro, North Carolina"
41.2444,-75.8781,"Wilkes-Barre, Pennsylvania"
30.4214,-87.2172,"Pensacola, Florida"
37.9947,-84.1842,"Winchester, Kentucky"
41.5883,-83.4894,"Walbridge, Ohio"
39.2864,-76.6150,Baltimore
41.1653,-73.8567,"Ossining (village), New York"
38.3539,-121.9728,"Vacaville, California"
39.9771,-74.9450,"Moorestown, New Jersey"
43.0631,-86.2283,"Grand Haven, Michigan"
